,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
591,False,/dYtAyg4vD88hIfrR1VKDnVGhnE6.jpg,"[80, 18, 35]",106646,en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",32.606805,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg,2013-12-25,The Wolf of Wall Street,False,7.9,8505
592,False,/jcKzxRGYiXuS7ctTHLdw9wH8d7V.jpg,"[28, 35, 80, 36]",337170,en,American Made,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.",23.141479,/23ILgoPSO5ShKcTZOuiTVfqFAUB.jpg,2017-08-17,American Made,False,6.6,1196
593,False,/zBK4QZONMQXhcgaJv1YYTdCW7q9.jpg,"[18, 36, 10752]",324786,en,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",42.616995,/bndiUFfJxNd2fYx8XO610L9a07m.jpg,2016-10-07,Hacksaw Ridge,False,7.9,4539
594,False,/rIpSszng8P0DL0TimSzZbpfnvh1.jpg,"[18, 36, 10752]",424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,24.691818,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,1993-11-29,Schindler's List,False,8.4,5518
595,False,/tUVVEGe16K5hfN7jH5MhJYjbCt2.jpg,"[10751, 36]",418680,en,Goodbye Christopher Robin,The behind the scenes story of the life of A.A. Milne and the creation of the Winnie the Pooh stories inspired by his son Christopher Robin.,28.398807,/AsUMHAeyi339ac0qyiBaMN1TkS5.jpg,2017-09-29,Goodbye Christopher Robin,False,7.0,131
596,False,/kDAIeve5RMx7iy2O5hvAIap2nH4.jpg,"[80, 18, 36, 53]",446791,en,All the Money in the World,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,57.356261,/q6nE9Hf0ezszjI4DbCxwzQ73MMy.jpg,2017-12-21,All the Money in the World,False,6.3,382
597,False,/kkUlAvfTWUdnD3hWvPbo6797H9W.jpg,"[18, 36]",381284,en,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",19.577744,/6cbIDZLfwUTmttXTmNi8Mp3Rnmg.jpg,2016-12-10,Hidden Figures,False,7.9,3085
598,False,/9vZzjmaXIYotKGnCfQyWBD7PAIO.jpg,"[36, 18]",72976,en,Lincoln,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",23.082825,/gkkiDu9srCCbCMxGKwNwKCxK7KF.jpg,2012-11-09,Lincoln,False,6.7,1746
599,False,/hxSuiXSsBWuAjR2rRMw4oOJw6jF.jpg,"[18, 27]",445040,en,My Friend Dahmer,"Jeffrey Dahmer struggles with a difficult family life as a young boy. During his teenage years he slowly transforms, edging closer to the serial killer he becomes.",8.980806,/c6HoPIBcRv9l2tPB8hbivq71Nw.jpg,2017-11-03,My Friend Dahmer,False,6.3,46
600,False,/rF432Lr1uXjJ1m537WOCvBX6f9M.jpg,"[10749, 18]",398174,en,Film Stars Don't Die in Liverpool,"Hollywood actress Gloria Grahame finds romance and happiness with a younger man in 1970s Liverpool, but her life changes forever when she is diagnosed with breast cancer.",11.090847,/87oy4bxwkhmb4Jb3MRvosvd9NOX.jpg,2017-11-17,Film Stars Don't Die in Liverpool,False,6.4,22
